week_end_date,cbsa_code,cbsa_title,hh_rank,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
1/5/2019,16980,"chicago-naperville-elgin, il-in-wi",3,3.2%,8.7%,-3,-3.8%,1123.5%,41.8%,29.5%,-1.9%
1/5/2019,19100,"dallas-fort worth-arlington, tx",4,-2.9%,28.9%,1,1.4%,1285.6%,41.5%,18.5%,-2.9%
1/5/2019,37980,"philadelphia-camden-wilmington, pa-nj-de-md",5,8.7%,-8.4%,-4,-4.6%,1476.5%,44.5%,-12.1%,-1.9%
1/5/2019,47900,"washington-arlington-alexandria, dc-va-md-wv",6,0.0%,-2.5%,0,0.0%,861.6%,40.8%,11.8%,-1.7%
1/5/2019,26420,"houston-the woodlands-sugar land, tx",7,-1.6%,14.8%,1,1.3%,1400.5%,42.9%,13.1%,-2.0%
1/5/2019,33100,"miami-fort lauderdale-west palm beach, fl",8,-0.3%,8.5%,2,2.2%,1819.1%,44.6%,-19.7%,-1.7%
1/5/2019,12060,"atlanta-sandy springs-roswell, ga",9,2.7%,18.1%,0,0.0%,1171.7%,41.5%,26.8%,-1.5%
1/5/2019,14460,"boston-cambridge-newton, ma-nh",10,0.2%,21.1%,-4,-5.1%,1221.8%,41.6%,94.3%,-0.4%
1/5/2019,41860,"san francisco-oakland-hayward, ca",11,-0.5%,68.9%,11,22.4%,618.3%,31.0%,21.7%,0.0%
1/5/2019,19820,"detroit-warren-dearborn, mi",12,9.9%,18.4%,-1,-1.5%,1233.5%,41.8%,31.3%,-1.6%
1/5/2019,38060,"phoenix-mesa-scottsdale, az",13,2.8%,6.1%,-2,-3.1%,925.2%,40.6%,220.7%,-3.3%
1/5/2019,42660,"seattle-tacoma-bellevue, wa",14,10.2%,90.0%,11,19.3%,1004.9%,35.3%,22.9%,-0.3%
1/5/2019,33460,"minneapolis-st. paul-bloomington, mn-wi",15,2.1%,17.3%,-1,-1.4%,848.5%,39.0%,30.8%,-0.6%
1/5/2019,40140,"riverside-san bernardino-ontario, ca",16,2.6%,27.6%,4,6.6%,1103.7%,40.4%,37.7%,-1.5%
1/5/2019,45300,"tampa-st. petersburg-clearwater, fl",17,0.0%,17.6%,4,6.1%,1092.1%,41.0%,41.7%,-2.6%
1/5/2019,41740,"san diego-carlsbad, ca",18,-2.9%,46.8%,4,8.0%,663.3%,33.9%,-2.6%,-2.5%
1/5/2019,41180,"st. louis, mo-il",19,5.3%,-5.2%,4,4.5%,1308.5%,43.7%,89.2%,-2.2%
1/5/2019,19740,"denver-aurora-lakewood, co",20,-9.3%,41.5%,1,1.6%,640.7%,34.0%,10.5%,-0.3%
1/5/2019,12580,"baltimore-columbia-towson, md",21,3.8%,4.1%,-3,-3.8%,1236.5%,42.8%,4.3%,-1.9%
1/5/2019,38300,"pittsburgh, pa",22,1.2%,-10.4%,-5,-4.6%,4322.0%,48.0%,-12.6%,-0.4%
1/5/2019,38900,"portland-vancouver-hillsboro, or-wa",23,-1.0%,26.8%,11,16.4%,860.9%,38.3%,45.9%,-1.9%
1/5/2019,16740,"charlotte-concord-gastonia, nc-sc",24,-2.2%,11.5%,-8,-9.4%,1347.1%,42.8%,40.3%,-2.2%
1/5/2019,36740,"orlando-kissimmee-sanford, fl",25,0.0%,14.8%,0,0.0%,1460.3%,43.1%,10.6%,-1.6%
1/5/2019,17460,"cleveland-elyria, oh",26,12.5%,-0.7%,-3,-3.4%,1475.8%,44.1%,-6.5%,-1.3%
1/5/2019,17140,"cincinnati, oh-ky-in",27,5.4%,2.4%,-6,-7.6%,1267.5%,43.0%,14.4%,-2.5%
1/5/2019,41700,"san antonio-new braunfels, tx",28,1.4%,8.1%,1,1.3%,1468.2%,43.6%,16.7%,-3.2%
1/5/2019,40900,"sacramento--roseville--arden-arcade, ca",29,1.6%,28.8%,5,8.3%,751.8%,36.9%,11.7%,-0.2%
1/5/2019,28140,"kansas city, mo-ks",30,9.6%,14.6%,4,4.9%,1433.2%,43.0%,-12.7%,-1.5%
1/5/2019,18140,"columbus, oh",31,-0.3%,5.1%,-4,-5.2%,1075.5%,41.8%,33.3%,-3.0%
1/5/2019,26900,"indianapolis-carmel-anderson, in",32,6.2%,8.4%,1,1.3%,1402.8%,43.3%,257.1%,-2.4%
1/5/2019,29820,"las vegas-henderson-paradise, nv",33,-8.6%,90.0%,-3,-4.5%,1666.0%,40.3%,49.7%,-3.3%
1/5/2019,12420,"austin-round rock, tx",34,-3.1%,8.7%,4,5.1%,1226.0%,42.4%,18.2%,-2.2%
1/5/2019,34980,"nashville-davidson--murfreesboro--franklin, tn",35,-6.3%,34.4%,7,13.5%,908.5%,38.2%,118.2%,-1.7%
1/5/2019,41940,"san jose-sunnyvale-santa clara, ca",36,-9.5%,156.4%,22,57.9%,754.1%,26.9%,12.2%,1.0%
1/5/2019,47260,"virginia beach-norfolk-newport news, va-nc",37,3.7%,-2.0%,-4,-4.7%,1733.9%,44.9%,-3.1%,-1.4%
1/5/2019,33340,"milwaukee-waukesha-west allis, wi",38,20.0%,-6.1%,-7,-8.3%,1021.5%,42.3%,25.4%,-2.3%
1/5/2019,39300,"providence-warwick, ri-ma",39,1.4%,19.6%,-6,-7.1%,1840.5%,44.2%,-16.4%,-0.9%
1/5/2019,27260,"jacksonville, fl",40,-2.2%,14.7%,3,3.7%,1583.1%,43.6%,-64.5%,-1.1%
1/5/2019,36420,"oklahoma city, ok",41,4.2%,-13.5%,-4,-5.1%,923.2%,42.2%,38.4%,-2.1%
1/5/2019,31140,"louisville/jefferson county, ky-in",42,8.7%,3.8%,-5,-6.8%,984.7%,41.3%,29.6%,-1.7%
1/5/2019,32820,"memphis, tn-ms-ar",43,14.8%,-16.3%,1,1.2%,1145.5%,43.7%,6.0%,-1.4%
1/5/2019,35380,"new orleans-metairie, la",44,2.0%,-1.5%,4,4.7%,1676.1%,44.7%,-15.7%,-1.8%
1/5/2019,40060,"richmond, va",45,5.7%,6.1%,-1,-1.4%,895.6%,40.4%,83.6%,-1.4%
1/5/2019,15380,"buffalo-cheektowaga-niagara falls, ny",46,9.1%,4.0%,-3,-4.2%,1434.5%,43.7%,6.8%,-0.8%
1/5/2019,25540,"hartford-west hartford-east hartford, ct",47,0.8%,8.2%,7,8.0%,1963.1%,45.0%,-4.2%,-1.7%
1/5/2019,39580,"raleigh, nc",48,-0.9%,17.8%,2,2.3%,1361.1%,42.5%,-17.5%,-1.1%
1/5/2019,13820,"birmingham-hoover, al",49,12.6%,-13.6%,-10,-9.5%,1327.6%,44.3%,-16.3%,-1.6%
1/5/2019,40380,"rochester, ny",50,16.1%,-6.6%,8,12.1%,977.8%,42.0%,-18.4%,-1.0%
1/5/2019,46060,"tucson, az",51,5.3%,-11.1%,-1,-1.5%,625.7%,39.1%,-4.8%,-2.6%
1/5/2019,41620,"salt lake city, ut",52,4.4%,16.5%,0,0.0%,900.4%,39.6%,32.5%,-1.7%
1/5/2019,24340,"grand rapids-wyoming, mi",53,7.7%,16.6%,-3,-3.9%,1403.4%,42.8%,-15.8%,-2.1%
1/5/2019,46140,"tulsa, ok",54,6.2%,-8.1%,3,4.4%,1108.2%,42.9%,-4.2%,-2.4%
1/5/2019,10580,"albany-schenectady-troy, ny",55,9.2%,4.4%,-10,-9.3%,2682.7%,46.4%,-4.6%,-1.2%
1/5/2019,10740,"albuquerque, nm",56,4.2%,-9.1%,0,0.0%,961.4%,42.1%,11.8%,-3.4%
1/5/2019,49340,"worcester, ma-ct",57,7.1%,5.6%,0,0.0%,1520.9%,43.9%,14.8%,-1.5%
1/5/2019,36540,"omaha-council bluffs, ne-ia",58,9.7%,4.2%,-2,-3.3%,493.7%,35.1%,1.1%,-1.0%
1/5/2019,28940,"knoxville, tn",59,6.0%,-10.7%,0,0.0%,1331.6%,44.1%,-3.3%,-1.6%
1/5/2019,14860,"bridgeport-stamford-norwalk, ct",60,1.4%,9.0%,4,3.5%,2411.1%,45.8%,-17.7%,-0.7%
1/5/2019,24860,"greenville-anderson-mauldin, sc",61,-0.4%,3.9%,8,9.8%,1542.8%,44.1%,0.0%,-1.5%
1/5/2019,35300,"new haven-milford, ct",62,0.3%,2.2%,6,6.3%,2286.9%,45.9%,-12.9%,-1.9%
1/5/2019,35840,"north port-sarasota-bradenton, fl",63,0.0%,10.5%,3,3.8%,1440.5%,43.3%,16.0%,-2.7%
1/5/2019,19380,"dayton, oh",64,19.3%,-3.7%,1,1.4%,1298.2%,43.6%,140.6%,-1.5%
1/5/2019,46520,"urban honolulu, hi",65,-0.7%,33.2%,2,2.9%,1185.8%,40.6%,2.5%,-0.8%
1/5/2019,10900,"allentown-bethlehem-easton, pa-nj",66,-0.4%,4.7%,-2,-2.2%,1393.4%,43.4%,1.7%,-1.2%
1/5/2019,12940,"baton rouge, la",67,6.7%,19.7%,8,8.8%,1947.6%,44.5%,-6.5%,-2.7%
1/5/2019,17900,"columbia, sc",68,15.9%,-10.7%,9,11.1%,1330.3%,44.1%,-7.8%,-2.2%
1/5/2019,24660,"greensboro-high point, nc",69,21.9%,-26.9%,-8,-8.0%,1212.4%,44.7%,50.0%,-1.5%
1/5/2019,23420,"fresno, ca",70,1.3%,24.4%,5,8.3%,855.7%,38.5%,-3.9%,-1.5%
1/5/2019,30780,"little rock-north little rock-conway, ar",71,5.5%,2.3%,-2,-2.5%,1067.4%,41.9%,3.4%,-1.8%
1/5/2019,16700,"charleston-north charleston, sc",72,-1.0%,7.1%,-2,-2.0%,2552.7%,46.1%,5.1%,-0.7%
1/5/2019,10420,"akron, oh",73,11.0%,-10.3%,-1,-1.3%,1146.3%,43.3%,60.5%,-1.1%
1/5/2019,15980,"cape coral-fort myers, fl",74,-4.8%,16.4%,8,11.0%,1379.2%,42.7%,-28.2%,-3.1%
1/5/2019,21340,"el paso, tx",75,9.8%,-17.8%,-15,-14.6%,1797.3%,45.8%,-5.3%,-1.3%
1/5/2019,37100,"oxnard-thousand oaks-ventura, ca",76,-8.0%,38.5%,7,10.8%,1016.2%,39.0%,35.4%,-1.3%
1/5/2019,17820,"colorado springs, co",77,-0.8%,26.8%,3,4.8%,731.8%,36.8%,15.4%,-0.8%
1/5/2019,31540,"madison, wi",78,4.6%,9.3%,-6,-6.4%,1302.2%,42.8%,-12.3%,-1.7%
1/5/2019,12540,"bakersfield, ca",79,0.8%,5.2%,1,1.5%,916.4%,40.6%,-2.2%,-2.6%
1/5/2019,45060,"syracuse, ny",80,15.7%,-15.0%,7,7.9%,1651.1%,45.4%,-14.3%,-1.5%
1/5/2019,49180,"winston-salem, nc",81,9.3%,-15.5%,3,3.1%,1340.8%,44.5%,-8.1%,-1.3%
1/5/2019,19660,"deltona-daytona beach-ormond beach, fl",82,5.4%,15.6%,9,11.5%,1646.6%,43.8%,140.4%,-2.5%
1/5/2019,48620,"wichita, ks",83,8.3%,-3.9%,-4,-5.1%,1349.2%,43.8%,-5.0%,-2.7%
1/5/2019,45780,"toledo, oh",84,15.5%,-10.1%,0,0.0%,1026.5%,42.6%,3.1%,-2.2%
1/5/2019,14260,"boise city, id",85,14.4%,-0.1%,-4,-6.3%,1102.6%,42.3%,-18.6%,-1.8%
1/5/2019,44140,"springfield, ma",86,0.0%,-4.2%,-3,-3.4%,1684.1%,44.9%,-18.2%,-2.1%
1/5/2019,19780,"des moines-west des moines, ia",87,0.0%,7.1%,5,5.3%,1460.4%,43.6%,80.4%,-1.5%
1/5/2019,29460,"lakeland-winter haven, fl",88,0.0%,14.1%,2,2.7%,1563.2%,43.6%,47.3%,-1.4%
1/5/2019,37340,"palm bay-melbourne-titusville, fl",89,-1.8%,28.3%,5,7.6%,1366.2%,42.0%,-9.7%,-2.7%
1/5/2019,32580,"mcallen-edinburg-mission, tx",90,0.1%,-1.1%,-17,-14.8%,2589.3%,46.5%,-37.9%,-2.2%
1/5/2019,42540,"scranton--wilkes-barre--hazleton, pa",91,7.1%,-5.8%,3,2.8%,2531.6%,46.5%,14.3%,-1.2%
1/5/2019,25420,"harrisburg-carlisle, pa",92,12.3%,-17.5%,-1,-1.0%,1253.6%,44.3%,-17.0%,-2.7%
1/5/2019,49660,"youngstown-warren-boardman, oh-pa",93,14.3%,-11.0%,-5,-4.8%,2163.5%,46.2%,8.1%,-0.6%
1/5/2019,12260,"augusta-richmond county, ga-sc",94,-0.5%,-4.0%,3,2.9%,1537.9%,44.5%,200.0%,-1.8%
1/5/2019,44700,"stockton-lodi, ca",95,5.0%,47.5%,5,8.9%,1011.0%,38.3%,125.0%,0.7%
1/5/2019,16860,"chattanooga, tn-ga",96,15.9%,10.7%,4,4.9%,1640.2%,44.0%,11.8%,-2.1%
1/5/2019,38860,"portland-south portland, me",97,1.4%,4.9%,0,0.0%,1793.3%,44.7%,-27.3%,-0.5%
1/5/2019,20500,"durham-chapel hill, nc",98,-2.6%,14.1%,-1,-1.1%,1307.3%,42.5%,-50.0%,-0.7%
1/5/2019,44060,"spokane-spokane valley, wa",99,18.4%,-12.9%,2,2.5%,475.9%,36.9%,-25.9%,-1.3%
1/5/2019,27140,"jackson, ms",100,0.0%,-16.4%,11,11.1%,1922.0%,46.0%,21.7%,-2.8%
12/29/2018,35620,"new york-newark-jersey city, ny-nj-pa",1,10.5%,13.7%,-1,-1.1%,0.4%,-0.3%,100.6%,0.0%
12/29/2018,31080,"los angeles-long beach-anaheim, ca",2,-5.1%,55.7%,5,8.5%,4.3%,-1.5%,30.6%,-0.2%
12/29/2018,16980,"chicago-naperville-elgin, il-in-wi",3,3.5%,9.4%,-4,-5.0%,2.6%,-0.2%,68.7%,-0.1%
12/29/2018,19100,"dallas-fort worth-arlington, tx",4,-3.6%,30.6%,2,2.9%,6.1%,-0.8%,54.8%,0.0%
12/29/2018,37980,"philadelphia-camden-wilmington, pa-nj-de-md",5,7.3%,-8.1%,-4,-4.6%,-6.9%,0.0%,0.8%,-0.1%
12/29/2018,47900,"washington-arlington-alexandria, dc-va-md-wv",6,1.0%,0.2%,-1,-1.4%,-21.0%,-0.9%,19.6%,0.3%
12/29/2018,26420,"houston-the woodlands-sugar land, tx",7,-1.6%,14.4%,1,1.3%,3.3%,-0.3%,24.9%,0.1%
12/29/2018,33100,"miami-fort lauderdale-west palm beach, fl",8,0.3%,8.8%,1,1.1%,-2.4%,-0.3%,47.1%,0.1%
12/29/2018,12060,"atlanta-sandy springs-roswell, ga",9,5.0%,20.5%,0,0.0%,-43.8%,-2.3%,54.7%,-0.7%
12/29/2018,14460,"boston-cambridge-newton, ma-nh",10,0.2%,20.4%,-2,-2.5%,0.0%,-0.5%,144.7%,0.1%
12/29/2018,41860,"san francisco-oakland-hayward, ca",11,-2.4%,93.7%,7,13.5%,-33.1%,-4.8%,54.8%,0.1%
12/29/2018,19820,"detroit-warren-dearborn, mi",12,9.5%,17.3%,-1,-1.5%,-4.3%,-0.8%,33.8%,0.1%
12/29/2018,38060,"phoenix-mesa-scottsdale, az",13,1.5%,6.6%,-4,-6.1%,8.9%,0.1%,144.6%,1.1%
12/29/2018,42660,"seattle-tacoma-bellevue, wa",14,11.5%,98.5%,10,16.4%,-9.1%,-3.4%,89.0%,1.2%
12/29/2018,33460,"minneapolis-st. paul-bloomington, mn-wi",15,1.3%,18.3%,-2,-2.5%,19.2%,0.0%,35.9%,0.1%
12/29/2018,40140,"riverside-san bernardino-ontario, ca",16,2.3%,28.5%,5,8.2%,-0.4%,-0.9%,17.0%,0.1%
12/29/2018,45300,"tampa-st. petersburg-clearwater, fl",17,0.0%,20.4%,-1,-1.5%,-1.3%,-0.8%,92.8%,0.6%
12/29/2018,41740,"san diego-carlsbad, ca",18,-2.9%,55.7%,3,5.5%,4.1%,-1.6%,-6.5%,-0.2%
12/29/2018,41180,"st. louis, mo-il",19,5.3%,-4.7%,3,3.5%,-11.6%,-0.2%,143.3%,0.1%
12/29/2018,19740,"denver-aurora-lakewood, co",20,-10.9%,47.6%,-4,-5.6%,-23.7%,-3.6%,40.3%,0.8%
12/29/2018,12580,"baltimore-columbia-towson, md",21,3.8%,4.6%,-3,-3.8%,-4.2%,-0.3%,-12.1%,0.2%
12/29/2018,38300,"pittsburgh, pa",22,0.0%,-10.1%,-4,-3.9%,-8.8%,0.0%,84.6%,0.3%
12/29/2018,38900,"portland-vancouver-hillsboro, or-wa",23,-1.8%,29.0%,7,9.9%,-41.5%,-3.1%,51.2%,-0.8%
12/29/2018,16740,"charlotte-concord-gastonia, nc-sc",24,-0.7%,12.8%,-8,-9.4%,8.1%,-0.1%,64.3%,0.7%
12/29/2018,36740,"orlando-kissimmee-sanford, fl",25,0.4%,14.2%,-2,-2.6%,8.1%,-0.2%,36.1%,0.6%
12/29/2018,17460,"cleveland-elyria, oh",26,12.5%,-0.7%,-6,-6.9%,11.6%,0.4%,48.7%,0.3%
12/29/2018,17140,"cincinnati, oh-ky-in",27,5.9%,2.4%,-7,-8.8%,8.5%,0.2%,2.0%,0.2%
12/29/2018,41700,"san antonio-new braunfels, tx",28,-0.2%,9.5%,1,1.3%,23.0%,0.4%,112.5%,-0.5%
12/29/2018,40900,"sacramento--roseville--arden-arcade, ca",29,0.2%,34.2%,1,1.6%,-11.5%,-1.8%,51.0%,-0.1%
12/29/2018,28140,"kansas city, mo-ks",30,10.6%,13.5%,5,6.1%,4.0%,-0.3%,26.5%,0.0%
12/29/2018,18140,"columbus, oh",31,1.7%,6.1%,-6,-7.7%,-21.3%,-1.1%,50.0%,-0.5%
12/29/2018,26900,"indianapolis-carmel-anderson, in",32,8.0%,9.6%,0,0.0%,1.9%,-0.3%,459.4%,0.5%
12/29/2018,29820,"las vegas-henderson-paradise, nv",33,-8.8%,88.1%,-5,-7.8%,57.4%,-0.9%,47.8%,2.1%
12/29/2018,12420,"austin-round rock, tx",34,-3.0%,11.8%,1,1.3%,10.8%,0.0%,55.8%,0.7%
12/29/2018,34980,"nashville-davidson--murfreesboro--franklin, tn",35,-6.6%,36.2%,6,11.3%,2.6%,-1.1%,372.7%,-0.3%
12/29/2018,41940,"san jose-sunnyvale-santa clara, ca",36,-15.3%,203.6%,15,34.1%,-2.5%,-6.1%,34.3%,-0.6%
12/29/2018,47260,"virginia beach-norfolk-newport news, va-nc",37,4.3%,-1.2%,-6,-7.1%,-6.1%,-0.1%,6.3%,0.3%
12/29/2018,33340,"milwaukee-waukesha-west allis, wi",38,15.6%,-6.3%,-12,-14.3%,15.6%,0.6%,61.6%,0.1%
12/29/2018,39300,"providence-warwick, ri-ma",39,2.9%,18.8%,-6,-7.1%,-0.8%,-0.5%,31.3%,0.1%
12/29/2018,27260,"jacksonville, fl",40,-1.6%,16.6%,-1,-1.2%,21.4%,0.1%,2.0%,-1.3%
12/29/2018,36420,"oklahoma city, ok",41,4.4%,-10.4%,-1,-1.2%,-28.2%,-0.6%,34.3%,-1.6%
12/29/2018,31140,"louisville/jefferson county, ky-in",42,8.7%,5.5%,-3,-4.0%,-11.3%,-0.6%,37.5%,0.7%
12/29/2018,32820,"memphis, tn-ms-ar",43,13.0%,-16.6%,0,0.0%,-35.1%,-0.9%,57.1%,1.1%
12/29/2018,35380,"new orleans-metairie, la",44,2.0%,-1.2%,5,6.0%,-27.5%,-0.8%,-4.8%,0.2%
12/29/2018,40060,"richmond, va",45,6.9%,6.9%,-7,-8.8%,-9.4%,-0.5%,61.7%,-0.5%
12/29/2018,15380,"buffalo-cheektowaga-niagara falls, ny",46,12.5%,3.1%,-2,-2.9%,-21.7%,-1.0%,22.9%,0.1%
12/29/2018,25540,"hartford-west hartford-east hartford, ct",47,0.8%,6.7%,6,6.7%,-17.0%,-0.4%,30.9%,-0.2%
12/29/2018,39580,"raleigh, nc",48,-2.4%,19.2%,3,3.5%,16.9%,-0.1%,-24.8%,0.9%
12/29/2018,13820,"birmingham-hoover, al",49,12.5%,-12.8%,-13,-11.9%,-30.7%,-0.6%,950.0%,-0.1%
12/29/2018,40380,"rochester, ny",50,18.8%,-6.0%,8,11.6%,-72.2%,-5.7%,19.4%,-0.1%
12/29/2018,46060,"tucson, az",51,6.8%,-9.7%,-3,-4.4%,-6.5%,0.1%,104.2%,-0.2%
12/29/2018,41620,"salt lake city, ut",52,3.9%,17.6%,-1,-1.6%,-23.5%,-1.9%,111.8%,-0.6%
12/29/2018,24340,"grand rapids-wyoming, mi",53,7.7%,17.0%,-3,-3.9%,24.6%,0.2%,31.8%,0.3%
12/29/2018,46140,"tulsa, ok",54,3.5%,-6.8%,2,2.9%,-30.4%,-0.9%,23.8%,-0.2%
12/29/2018,10580,"albany-schenectady-troy, ny",55,5.5%,4.8%,-7,-6.6%,22.6%,0.3%,24.8%,-0.1%
12/29/2018,10740,"albuquerque, nm",56,4.2%,-6.3%,-1,-1.3%,-5.4%,0.0%,82.1%,0.1%
12/29/2018,49340,"worcester, ma-ct",57,7.1%,6.1%,3,3.7%,-14.9%,-0.6%,16.7%,0.2%
12/29/2018,36540,"omaha-council bluffs, ne-ia",58,10.5%,11.9%,5,8.1%,-31.1%,-1.8%,73.2%,0.0%
12/29/2018,28940,"knoxville, tn",59,6.0%,-10.9%,0,0.0%,-32.3%,-0.7%,33.8%,0.3%
12/29/2018,14860,"bridgeport-stamford-norwalk, ct",60,1.4%,8.0%,5,4.5%,-17.3%,-0.3%,178.7%,-0.1%
12/29/2018,24860,"greenville-anderson-mauldin, sc",61,-1.6%,5.8%,6,7.3%,-9.3%,-0.4%,19.5%,-0.6%
12/29/2018,35300,"new haven-milford, ct",62,0.0%,0.8%,6,6.3%,18.2%,0.3%,21.5%,-0.2%
12/29/2018,35840,"north port-sarasota-bradenton, fl",63,0.0%,10.7%,1,1.3%,0.9%,-0.2%,16.8%,-0.3%
12/29/2018,19380,"dayton, oh",64,20.8%,-2.1%,-3,-4.0%,-29.9%,-1.0%,148.6%,0.6%
12/29/2018,46520,"urban honolulu, hi",65,-0.8%,36.2%,2,2.7%,10.6%,-0.9%,66.2%,1.1%
12/29/2018,10900,"allentown-bethlehem-easton, pa-nj",66,0.0%,4.3%,-1,-1.1%,10.1%,0.2%,-10.1%,0.0%
12/29/2018,12940,"baton rouge, la",67,4.0%,22.4%,7,7.6%,-5.5%,-0.6%,3.2%,-0.5%
12/29/2018,17900,"columbia, sc",68,17.7%,-12.9%,7,8.5%,14.0%,0.8%,86.8%,0.3%
12/29/2018,24660,"greensboro-high point, nc",69,20.1%,-26.2%,-14,-13.9%,-22.4%,0.2%,29.1%,0.4%
12/29/2018,23420,"fresno, ca",70,-0.4%,30.7%,3,4.7%,-4.8%,-1.5%,84.9%,0.5%
12/29/2018,30780,"little rock-north little rock-conway, ar",71,5.9%,1.9%,-1,-1.1%,-4.4%,-0.2%,43.1%,0.0%
12/29/2018,16700,"charleston-north charleston, sc",72,-1.3%,8.9%,0,0.0%,-16.4%,-0.6%,18.3%,-0.3%
12/29/2018,10420,"akron, oh",73,9.6%,-10.4%,-2,-2.6%,-40.2%,-1.5%,25.8%,1.5%
12/29/2018,15980,"cape coral-fort myers, fl",74,-4.8%,16.8%,7,9.3%,-6.2%,-0.6%,32.0%,-0.3%
12/29/2018,21340,"el paso, tx",75,9.4%,-19.8%,-11,-11.1%,2.7%,0.5%,42.9%,-0.2%
12/29/2018,37100,"oxnard-thousand oaks-ventura, ca",76,-8.6%,38.6%,6,9.0%,-10.5%,-1.5%,31.3%,-0.9%
12/29/2018,17820,"colorado springs, co",77,-0.5%,31.3%,1,1.5%,-10.2%,-1.9%,111.8%,0.1%
12/29/2018,31540,"madison, wi",78,2.8%,8.3%,-12,-12.1%,2.6%,-0.2%,14.8%,0.1%
12/29/2018,12540,"bakersfield, ca",79,0.0%,5.8%,-2,-2.7%,-19.2%,-1.0%,4.8%,-0.4%
12/29/2018,45060,"syracuse, ny",80,13.3%,-14.3%,4,4.3%,-57.1%,-2.9%,221.4%,0.1%
12/29/2018,49180,"winston-salem, nc",81,12.2%,-14.8%,-1,-1.0%,-16.1%,0.0%,-0.9%,0.3%
12/29/2018,19660,"deltona-daytona beach-ormond beach, fl",82,5.1%,17.2%,7,8.9%,-27.2%,-1.5%,77.3%,-0.6%
12/29/2018,48620,"wichita, ks",83,8.8%,-3.7%,-8,-9.9%,4.1%,0.3%,3.2%,0.0%
12/29/2018,45780,"toledo, oh",84,15.9%,-7.4%,-1,-1.2%,1.8%,0.3%,26.5%,0.2%
12/29/2018,14260,"boise city, id",85,13.4%,-0.6%,-6,-9.4%,-25.0%,-1.3%,-5.1%,2.7%
12/29/2018,44140,"springfield, ma",86,0.0%,-5.6%,-9,-9.7%,0.0%,0.2%,2.3%,-0.4%
12/29/2018,19780,"des moines-west des moines, ia",87,-0.4%,8.6%,8,8.6%,17.4%,0.2%,73.5%,-0.4%
12/29/2018,29460,"lakeland-winter haven, fl",88,2.7%,14.1%,-2,-2.7%,-7.0%,-0.8%,70.9%,1.9%
12/29/2018,37340,"palm bay-melbourne-titusville, fl",89,-2.4%,29.7%,3,4.4%,-1.4%,-1.1%,-16.3%,0.4%
12/29/2018,32580,"mcallen-edinburg-mission, tx",90,0.1%,-2.1%,-17,-14.8%,27.7%,0.6%,-1.8%,-0.1%
12/29/2018,42540,"scranton--wilkes-barre--hazleton, pa",91,6.9%,-6.7%,-2,-1.8%,0.0%,0.1%,-9.5%,0.3%
12/29/2018,25420,"harrisburg-carlisle, pa",92,15.0%,-17.3%,-6,-6.0%,-17.2%,0.0%,55.9%,-0.7%
12/29/2018,49660,"youngstown-warren-boardman, oh-pa",93,17.5%,-12.1%,-8,-7.7%,1.9%,0.4%,15.8%,0.4%
12/29/2018,12260,"augusta-richmond county, ga-sc",94,-0.4%,-4.0%,-1,-0.9%,-30.1%,-0.7%,20.0%,-0.3%
12/29/2018,44700,"stockton-lodi, ca",95,4.5%,54.2%,5,9.1%,-23.1%,-3.3%,-3.9%,0.3%
12/29/2018,16860,"chattanooga, tn-ga",96,13.9%,12.1%,2,2.5%,-52.3%,-1.7%,15.9%,-1.5%
12/29/2018,38860,"portland-south portland, me",97,1.7%,3.9%,-3,-2.8%,-21.7%,-0.5%,-41.2%,0.1%
12/29/2018,20500,"durham-chapel hill, nc",98,-1.5%,13.3%,-10,-9.7%,-8.3%,-0.5%,58.7%,1.3%
12/29/2018,44060,"spokane-spokane valley, wa",99,13.8%,-11.5%,-1,-1.2%,19.4%,0.9%,20.0%,-0.3%
12/29/2018,27140,"jackson, ms",100,-0.9%,-14.3%,11,11.1%,-40.7%,-0.7%,33.0%,-0.3%
12/22/2018,35620,"new york-newark-jersey city, ny-nj-pa",1,9.6%,13.3%,0,0.0%,13.6%,0.0%,87.6%,0.1%
12/22/2018,31080,"los angeles-long beach-anaheim, ca",2,-4.5%,54.8%,4,7.4%,27.6%,-0.9%,22.0%,0.8%
12/22/2018,16980,"chicago-naperville-elgin, il-in-wi",3,3.2%,9.0%,-3,-4.0%,22.5%,0.5%,38.0%,0.5%
12/22/2018,19100,"dallas-fort worth-arlington, tx",4,-3.7%,30.1%,3,4.7%,28.7%,-0.1%,11.4%,1.1%
12/22/2018,37980,"philadelphia-camden-wilmington, pa-nj-de-md",5,6.4%,-11.1%,-4,-4.8%,2.0%,0.6%,3.4%,0.4%
12/22/2018,47900,"washington-arlington-alexandria, dc-va-md-wv",6,1.2%,-3.1%,-5,-7.0%,3.0%,0.3%,8.8%,0.7%
12/22/2018,26420,"houston-the woodlands-sugar land, tx",7,-1.7%,13.1%,-1,-1.4%,22.1%,0.4%,32.1%,1.0%
12/22/2018,33100,"miami-fort lauderdale-west palm beach, fl",8,0.0%,8.0%,0,0.0%,12.7%,0.2%,24.5%,0.5%
12/22/2018,12060,"atlanta-sandy springs-roswell, ga",9,5.0%,18.6%,-1,-1.5%,23.5%,0.2%,45.7%,0.7%
